% 1. Title: Premiership Data 2013 Season

% 2. Source: http://www.football-data.co.uk/data.php



@relation Premiership2013
@attribute 'HomeTeam' { Arsenal, AstonVilla, Birmingham, Blackburn, Blackpool, Bolton, Burnley, Chelsea, Derby, Everton, Fulham, Hull, Liverpool, ManCity, ManUnited, Middlesbrough, Newcastle, Norwich, NottinghamForest, Portsmouth, QPR, Reading, Southampton, Stoke, Sunderland, Swansea, Tottenham, WestBrom, WestHam, Wigan, Wolves }
@attribute 'AwayTeam' { Arsenal, AstonVilla, Birmingham, Blackburn, Blackpool, Bolton, Burnley, Chelsea, Derby, Everton, Fulham, Hull, Liverpool, ManCity, ManUnited, Middlesbrough, Newcastle, Norwich, NottinghamForest, Portsmouth, QPR, Reading, Southampton, Stoke, Sunderland, Swansea, Tottenham, WestBrom, WestHam, Wigan, Wolves }
@attribute 'FullTimeHomeTeamGoals' numeric
@attribute 'FullTimeAwayTeamGoals' numeric
@attribute 'HalfTimeHomeTeamGoals' numeric
@attribute 'HalfTimeAwayTeamGoals' numeric
@attribute 'HomeTeamShots' numeric
@attribute 'AwayTeamShots' numeric
@attribute 'HomeTeamShotsOnTarget' numeric
@attribute 'AwayTeamShotsOnTarget' numeric
@attribute 'HomeTeamFoulsCommitted' numeric
@attribute 'AwayTeamFoulsCommitted' numeric
@attribute 'HomeTeamCorners' numeric
@attribute 'AwayTeamCorners' numeric
@attribute 'HomeTeamYellowCards' numeric
@attribute 'AwayTeamYellowCards' numeric
@attribute 'HomeTeamRedCards' numeric
@attribute 'AwayTeamRedCards' numeric
@attribute 'Bet365HomeWinOdds' numeric
@attribute 'Bet365DrawOdds' numeric
@attribute 'Bet365AwayWinOdds' numeric
@attribute 'WilliamHillHomeWinOdds' numeric
@attribute 'WilliamHillDrawOdds' numeric
@attribute 'WilliamHillAwayWinOdds' numeric
@attribute 'class' { D,H,A }
@data
Everton,Wolves,2,1,1,1,13,4,9,1,14,13,9,1,1,2,0,0,1.57,3.75,6.5,1.62,3.8,5.5,H
ManCity,Newcastle,3,1,2,0,12,10,9,7,10,7,4,5,0,0,0,0,1.3,5.5,10,1.3,5.5,9.5,H
Norwich,Arsenal,1,2,1,1,7,20,4,14,11,9,1,6,3,0,0,0,5.5,3.6,1.67,5.5,3.4,1.7,A
Stoke,QPR,2,3,1,2,17,9,7,8,17,10,9,5,4,2,0,0,1.83,3.5,4.5,1.75,3.6,4.75,A
Sunderland,Fulham,0,0,0,0,13,13,8,9,8,12,6,7,1,1,0,0,2.3,3.25,3.2,2.38,3.25,3,D
Swansea,ManUnited,0,1,0,1,9,13,6,7,6,9,6,2,0,1,0,0,6.5,4.2,1.5,8,4,1.44,A
WestBrom,Bolton,2,1,1,1,16,8,9,6,12,12,7,5,1,0,0,0,2,3.4,3.8,2,3.4,3.75,H
Wigan,Blackburn,3,3,2,1,21,6,11,2,14,13,7,3,2,3,0,1,2.5,3.25,2.88,2.45,3.3,2.9,D
Chelsea,Liverpool,1,2,0,1,18,9,5,3,13,11,6,5,3,2,0,0,1.83,3.5,4.5,1.91,3.1,4.5,A
Tottenham,AstonVilla,2,0,2,0,20,5,9,1,4,5,11,3,0,2,0,0,1.57,4,6,1.55,4.33,5.5,H
Arsenal,Fulham,1,1,0,0,20,10,12,6,9,7,13,4,1,3,0,0,1.44,4.2,8,1.5,4.2,6.5,D
Bolton,Everton,0,2,0,0,8,17,7,14,9,10,2,4,1,1,1,0,3.1,3.25,2.38,2.9,3.4,2.38,A
Chelsea,Wolves,3,0,3,0,17,7,11,2,10,10,9,2,1,2,0,0,1.22,6,15,1.25,6,11,H
ManUnited,Newcastle,1,1,0,0,23,8,13,6,12,15,11,3,1,4,0,1,1.4,4.5,8.5,1.4,4.75,7.5,D
